X,Y,Name,description,altitudeMode,sta,Field1,lon,staname,elev,lat,net,FID,Field_1
-177.0937,51.8998,"b'Round Head, Kanaga Volcano, Alaska'",,clampToGround,b'KIRH',255,-177.0937,"b'Round Head, Kanaga Volcano, Alaska'",0.321,51.8998,"b'AV, Kanaga, mag'",63,"b'Round Head, Kanaga Volcano, Alaska'"
-177.1528,51.852,"b'Westway Bight, Kanaga Volcano, Alaska'",,clampToGround,b'KIWB',257,-177.1528,"b'Westway Bight, Kanaga Volcano, Alaska'",0.244,51.852,"b'AV, Kanaga, mag'",64,"b'Westway Bight, Kanaga Volcano, Alaska'"
-155.5753,58.0533,"b'Kejulik, Katmai, Alaska'",,clampToGround,b'KJL',258,-155.5753,"b'Kejulik, Katmai, Alaska'",0.792,58.0533,"b'AV, Katmai, mag'",65,"b'Kejulik, Katmai, Alaska'"
-174.0992,52.274,"b'Flat Point, Korovin Volcano, Alaska'",,clampToGround,b'KOFP',263,-174.0992,"b'Flat Point, Korovin Volcano, Alaska'",0.662,52.274,"b'Korovin, AV, nomag'",66,"b'Flat Point, Korovin Volcano, Alaska'"
-174.2022,52.3221,"b'Mount Kliuchef, Korovin Volcano, Alaska'",,clampToGround,b'KOKL',264,-174.2022,"b'Mount Kliuchef, Korovin Volcano, Alaska'",0.758,52.3221,"b'Korovin, AV, mag'",67,"b'Mount Kliuchef, Korovin Volcano, Alaska'"
-174.1673,52.3603,"b'Korovin Volcano, Korovin Volcano, Alaska'",,clampToGround,b'KOKV',265,-174.1673,"b'Korovin Volcano, Korovin Volcano, Alaska'",0.776,52.3603,"b'AV, Korovin, mag'",68,"b'Korovin Volcano, Korovin Volcano, Alaska'"
-174.1213,52.3925,"b'Northeast, Korovin Volcano, Alaska'",,clampToGround,b'KONE',266,-174.1213,"b'Northeast, Korovin Volcano, Alaska'",0.253,52.3925,"b'Korovin, AV, mag'",69,"b'Northeast, Korovin Volcano, Alaska'"
-174.0505,52.3447,"b'Southeast, Korovin Volcano, Alaska'",,clampToGround,b'KOSE',269,-174.0505,"b'Southeast, Korovin Volcano, Alaska'",0.625,52.3447,"b'AV, Korovin, mag'",70,"b'Southeast, Korovin Volcano, Alaska'"
-174.2527,52.3646,"b'West, Korovin Volcano, Alaska'",,clampToGround,b'KOWE',271,-174.2527,"b'West, Korovin Volcano, Alaska'",0.527,52.3646,"b'Korovin, AV, nomag'",71,"b'West, Korovin Volcano, Alaska'"
178.5148,51.9693,"b'Northwest, Little Sitkin Volcano, Alaska'",,clampToGround,b'LSNW',288,178.5148,"b'Northwest, Little Sitkin Volcano, Alaska'",0.29,51.9693,"b'LtlStkn, AV, mag'",72,"b'Northwest, Little Sitkin Volcano, Alaska'"
178.5714,51.9557,"b'Pratt Point, Little Sitkin Volcano, Alaska'",,clampToGround,b'LSPA',289,178.5714,"b'Pratt Point, Little Sitkin Volcano, Alaska'",0.335,51.9557,"b'LtlStkn, AV, mag'",73,"b'Pratt Point, Little Sitkin Volcano, Alaska'"
178.5112,51.9484,"b'Saddle, Little Sitkin Volcano, Alaska'",,clampToGround,b'LSSA',290,178.5112,"b'Saddle, Little Sitkin Volcano, Alaska'",0.549,51.9484,"b'LtlStkn, AV, mag'",74,"b'Saddle, Little Sitkin Volcano, Alaska'"
-166.0358,54.16,"b'Lava Point, Akutan Volcano, Alaska'",,clampToGround,b'LVA',293,-166.0358,"b'Lava Point, Akutan Volcano, Alaska'",0.457,54.16,"b'AV, Akutan, mag'",75,"b'Lava Point, Akutan Volcano, Alaska'"
-166.8942,53.9505,"b'Makushin Cirque, Makushin Volcano, Alaska'",,clampToGround,b'MCIR',312,-166.8942,"b'Makushin Cirque, Makushin Volcano, Alaska'",0.8,53.9505,"b'AV, Makshn, mag'",76,"b'Makushin Cirque, Makushin Volcano, Alaska'"
-155.1629,58.1336,"b'Mageik Landslide, Katmai, Volcanic Group,  Alaska'",,clampToGround,b'MGLS',319,-155.1629,"b'Mageik Landslide, Katmai, Volcanic Group,  Alaska'",0.472,58.1336,"b'AV, Katmai, mag'",77,"b'Mageik Landslide, Katmai, Volcanic Group,  Alaska'"
-166.878,53.7938,"b'Gods Own Repeater Site, Makushin Volcano, Alaska'",,clampToGround,b'MGOD',320,-166.878,"b'Gods Own Repeater Site, Makushin Volcano, Alaska'",0.65,53.7938,"b'AV, Makshn, mag'",78,"b'Gods Own Repeater Site, Makushin Volcano, Alaska'"
-146.3388,59.4278,"b'Middleton Island, Alaska'",,clampToGround,b'MID',321,-146.3388,"b'Middleton Island, Alaska'",0.037,59.4278,"b'AT, nomag'",79,"b'Middleton Island, Alaska'"
-166.6856,53.8829,"b'Nateekin Bay, Makushin  Volcano, Alaska'",,clampToGround,b'MNAT',325,-166.6856,"b'Nateekin Bay, Makushin  Volcano, Alaska'",0.39,53.8829,"b'AV, Makshn, mag'",80,"b'Nateekin Bay, Makushin  Volcano, Alaska'"
-166.7476,53.8096,"b'Repeater, Makushin Volcano, Alaska'",,clampToGround,b'MREP',327,-166.7476,"b'Repeater, Makushin Volcano, Alaska'",0.785,53.8096,"b'Makshn, AV, mag'",81,"b'Repeater, Makushin Volcano, Alaska'"
-166.788,53.9148,"b'Switchbacks, Makushin Volcano, Alaska'",,clampToGround,b'MSW',331,-166.788,"b'Switchbacks, Makushin Volcano, Alaska'",0.423,53.9148,"b'AV, Makshn, mag'",82,"b'Switchbacks, Makushin Volcano, Alaska'"
-152.2089,61.2001,"b'Mount Spurr, AK, USA'",,clampToGround,b'N20K',336,-152.2089,"b'Mount Spurr, AK, USA'",0.991,61.2001,"b'AV, mag'",83,"b'Mount Spurr, AK, USA'"
-152.9293,60.5621,"b'North Crescent, Redoubt Volcano, Alaska'",,clampToGround,b'NCT',341,-152.9293,"b'North Crescent, Redoubt Volcano, Alaska'",1.136,60.5621,"b'AV, Redoubt'",84,"b'North Crescent, Redoubt Volcano, Alaska'"
-168.1663,53.4261,"b'Cone E, Okmok Caldera, Alaska'",,clampToGround,b'OKCE',357,-168.1663,"b'Cone E, Okmok Caldera, Alaska'",0.516,53.4261,"b'AV, mag, Okmok'",85,"b'Cone E, Okmok Caldera, Alaska'"
-167.9114,53.4108,"b'Fort Glenn, Okmok Caldera, Alaska'",,clampToGround,b'OKFG',359,-167.9114,"b'Fort Glenn, Okmok Caldera, Alaska'",0.196,53.4108,"b'Okmok, mag, AV'",86,"b'Fort Glenn, Okmok Caldera, Alaska'"
-168.1255,53.4559,"b'New Cone D, Okmok Caldera, Alaska'",,clampToGround,b'OKNC',360,-168.1255,"b'New Cone D, Okmok Caldera, Alaska'",0.404,53.4559,"b'AV, mag, Okmok'",87,"b'New Cone D, Okmok Caldera, Alaska'"
-168.098,53.5134,"b'Reindeer Point, Okmok Caldera, Alaska'",,clampToGround,b'OKNO',361,-168.098,"b'Reindeer Point, Okmok Caldera, Alaska'",0.4785,53.5134,b'AV',88,"b'Reindeer Point, Okmok Caldera, Alaska'"
-168.1619,53.3565,"b'South, Okmok Caldera, Alaska'",,clampToGround,b'OKSO',362,-168.1619,"b'South, Okmok Caldera, Alaska'",0.46,53.3565,"b'Okmok, AV, mag'",89,"b'South, Okmok Caldera, Alaska'"
-168.0431,53.3829,"b'Mount Tulik, Okmok Caldera, Alaska'",,clampToGround,b'OKTU',363,-168.0431,"b'Mount Tulik, Okmok Caldera, Alaska'",0.646,53.3829,"b'Okmok, AV, mag'",90,"b'Mount Tulik, Okmok Caldera, Alaska'"
-156.6093,57.8012,"b'Peulik Volcano 1, Alaska'",,clampToGround,b'PLK1',382,-156.6093,"b'Peulik Volcano 1, Alaska'",0.078,57.8012,"b'Peulik, AV, mag'",91,"b'Peulik Volcano 1, Alaska'"
-156.3264,57.7634,"b'Mt. Peulik Volcano 2, Alaska'",,clampToGround,b'PLK2',383,-156.3264,"b'Mt. Peulik Volcano 2, Alaska'",0.401,57.7634,"b'Peulik, AV, mag'",92,"b'Mt. Peulik Volcano 2, Alaska'"
-161.9973,55.4329,"b'Pavlof North 7A, Pavlof Volcano, Alaska'",,clampToGround,b'PN7A',389,-161.9973,"b'Pavlof North 7A, Pavlof Volcano, Alaska'",0.838,55.4329,"b'AV, Pavlof, mag'",93,"b'Pavlof North 7A, Pavlof Volcano, Alaska'"
-161.8567,55.346,"b'Pavlof South 4A, Pavlof Volcano, Alaska'",,clampToGround,b'PS4A',406,-161.8567,"b'Pavlof South 4A, Pavlof Volcano, Alaska'",0.322,55.346,"b'AV, Pavlof, mag'",94,"b'Pavlof South 4A, Pavlof Volcano, Alaska'"
-156.3599,57.6313,"b'Mt. Peulik Volcano, AVO PLK4, AK, USA'",,clampToGround,b'R17L',419,-156.3599,"b'Mt. Peulik Volcano, AVO PLK4, AK, USA'",0.524,57.6313,"b'AV, mag'",95,"b'Mt. Peulik Volcano, AVO PLK4, AK, USA'"
-134.5181,58.2747,"b'Eaglecrest, AK, USA'",,clampToGround,b'R32K',421,-134.5181,"b'Eaglecrest, AK, USA'",0.386,58.2747,"b'TA, mag'",96,"b'Eaglecrest, AK, USA'"
-152.6883,60.5912,"b'Drift River Broadband, Redoubt Volcano, Alaska'",,clampToGround,b'RDDF',428,-152.6883,"b'Drift River Broadband, Redoubt Volcano, Alaska'",1.134,60.5912,"b'AV, Redoubt, mag'",97,"b'Drift River Broadband, Redoubt Volcano, Alaska'"
-152.8058,60.5905,"b""Redoubt, Jurgen's Hut, Redoubt Alaska""",,clampToGround,b'RDJH',429,-152.8058,"b""Redoubt, Jurgen's Hut, Redoubt Alaska""",1.414,60.5905,"b'AV, Redoubt'",98,"b""Redoubt, Jurgen's Hut, Redoubt Alaska"""
-152.743,60.4536,"b'Redoubt South, Redoubt Volcano, Alaska'",,clampToGround,b'RDSO',431,-152.743,"b'Redoubt South, Redoubt Volcano, Alaska'",1.557,60.4536,"b'AV, bands, Redoubt'",99,"b'Redoubt South, Redoubt Volcano, Alaska'"
-152.7742,60.4196,"b'Redoubt Volcano, Redoubt Volcano, Alaska'",,clampToGround,b'RED',434,-152.7742,"b'Redoubt Volcano, Redoubt Volcano, Alaska'",1.071,60.4196,"b'AV, Redoubt'",100,"b'Redoubt Volcano, Redoubt Volcano, Alaska'"
-152.694,60.4888,"b'Redoubt East Flank, Redoubt Volcano, Alaska'",,clampToGround,b'REF',435,-152.694,"b'Redoubt East Flank, Redoubt Volcano, Alaska'",1.641,60.4888,"b'AV, Redoubt'",101,"b'Redoubt East Flank, Redoubt Volcano, Alaska'"
-141.3478,60.2994,"b'Rock Avalanche, AK, USA'",,clampToGround,b'RKAV',437,-141.3478,"b'Rock Avalanche, AK, USA'",1.647,60.2994,"b'AK, Steep, mag'",102,"b'Rock Avalanche, AK, USA'"
-152.3722,61.2591,"b'Barrier Glacier, Mount Spurr, Alaska'",,clampToGround,b'SPBG',465,-152.3722,"b'Barrier Glacier, Mount Spurr, Alaska'",1.087,61.2591,"b'Spurr, AV'",103,"b'Barrier Glacier, Mount Spurr, Alaska'"
